name,value,year,lastValue,rank,tid
Jonas Valanciunas,12.26,2021-11-03,12.79,4,#0c223c
Luka Doncic,11.21,2021-11-03,11.1,5,#1452b4
Nikola Vucevic,9.15,2021-11-03,9.71,6,#bc062c
Jakob Poeltl,7.86,2021-11-03,7.86,7,#161616
OG Anunoby,7.64,2021-11-03,7.7,8,#bc0f33
Jusuf Nurkic,7.59,2021-11-03,8.15,9,#cc0a2c
Bojan Bogdanovic,7.44,2021-11-03,7.44,10,#244e34
Nikola Jokic,17.74,2021-11-04,17.74,1,#fcc624
Giannis Antetokounmpo,15.02,2021-11-04,15.02,2,#2c4e3c
Rudy Gobert,14.17,2021-11-04,14.42,3,#244e34
Jonas Valanciunas,12.26,2021-11-04,12.26,4,#0c223c
Luka Doncic,11.21,2021-11-04,11.21,5,#1452b4
Nikola Vucevic,9.15,2021-11-04,9.15,6,#bc062c
Jakob Poeltl,7.86,2021-11-04,7.86,7,#161616
OG Anunoby,7.64,2021-11-04,7.64,8,#bc0f33
Bojan Bogdanovic,7.63,2021-11-04,7.44,9,#244e34
Jusuf Nurkic,7.59,2021-11-04,7.59,10,#cc0a2c
Nikola Jokic,17.74,2021-11-05,17.74,1,#fcc624
Giannis Antetokounmpo,14.62,2021-11-05,15.02,2,#2c4e3c
Rudy Gobert,14.17,2021-11-05,14.17,3,#244e34
Jonas Valanciunas,12.15,2021-11-05,12.26,4,#0c223c
Luka Doncic,11.21,2021-11-05,11.21,5,#1452b4
Nikola Vucevic,9.15,2021-11-05,9.15,6,#bc062c
OG Anunoby,8.05,2021-11-05,7.64,7,#bc0f33
Jakob Poeltl,7.86,2021-11-05,7.86,8,#161616
Nicolas Batum,7.83,2021-11-05,7.83,9,#0446ac
Bojan Bogdanovic,7.63,2021-11-05,7.63,10,#244e34
Nikola Jokic,17.6,2021-11-06,17.74,1,#fcc624
Giannis Antetokounmpo,14.62,2021-11-06,14.62,2,#2c4e3c
Rudy Gobert,13.11,2021-11-06,14.17,3,#244e34
Jonas Valanciunas,12.15,2021-11-06,12.15,4,#0c223c
Luka Doncic,11.6,2021-11-06,11.21,5,#1452b4
Nikola Vucevic,8.67,2021-11-06,9.15,6,#bc062c
Jusuf Nurkic,8.54,2021-11-06,7.59,7,#cc0a2c
OG Anunoby,8.05,2021-11-06,8.05,8,#bc0f33
Jakob Poeltl,7.86,2021-11-06,7.86,9,#161616
Nicolas Batum,7.83,2021-11-06,7.83,10,#0446ac
Nikola Jokic,17.6,2021-11-07,17.6,1,#fcc624
Giannis Antetokounmpo,14.54,2021-11-07,14.62,2,#2c4e3c
Rudy Gobert,13.43,2021-11-07,13.11,3,#244e34
Jonas Valanciunas,12.15,2021-11-07,12.15,4,#0c223c
Luka Doncic,11.6,2021-11-07,11.6,5,#1452b4
Nikola Vucevic,8.67,2021-11-07,8.67,6,#bc062c
Jusuf Nurkic,8.54,2021-11-07,8.54,7,#cc0a2c
Nicolas Batum,8.14,2021-11-07,7.83,8,#0446ac
Jakob Poeltl,7.86,2021-11-07,7.86,9,#161616
OG Anunoby,7.85,2021-11-07,8.05,10,#bc0f33
Nikola Jokic,18.03,2021-11-08,17.6,1,#fcc624
Giannis Antetokounmpo,14.54,2021-11-08,14.54,2,#2c4e3c
Rudy Gobert,13.43,2021-11-08,13.43,3,#244e34
Jonas Valanciunas,12.17,2021-11-08,12.15,4,#0c223c
Luka Doncic,11.21,2021-11-08,11.6,5,#1452b4
Nikola Vucevic,8.78,2021-11-08,8.67,6,#bc062c
Jusuf Nurkic,8.54,2021-11-08,8.54,7,#cc0a2c
Nicolas Batum,8.14,2021-11-08,8.14,8,#0446ac
Jakob Poeltl,7.86,2021-11-08,7.86,9,#161616
OG Anunoby,7.85,2021-11-08,7.85,10,#bc0f33
Nikola Jokic,18.03,2021-11-09,18.03,1,#fcc624
Giannis Antetokounmpo,14.55,2021-11-09,14.54,2,#2c4e3c
Rudy Gobert,12.74,2021-11-09,13.43,3,#244e34
Jonas Valanciunas,12.17,2021-11-09,12.17,4,#0c223c
Luka Doncic,11.21,2021-11-09,11.21,5,#1452b4
Jusuf Nurkic,8.84,2021-11-09,8.54,6,#cc0a2c
Nikola Vucevic,8.78,2021-11-09,8.78,7,#bc062c
Nicolas Batum,8.47,2021-11-09,8.14,8,#0446ac
Jakob Poeltl,7.86,2021-11-09,7.86,9,#161616
OG Anunoby,7.85,2021-11-09,7.85,10,#bc0f33
Nikola Jokic,18.03,2021-11-10,18.03,1,#fcc624
Giannis Antetokounmpo,14.23,2021-11-10,14.55,2,#2c4e3c
Rudy Gobert,12.74,2021-11-10,12.74,3,#244e34
Jonas Valanciunas,12.52,2021-11-10,12.17,4,#0c223c
Luka Doncic,11.12,2021-11-10,11.21,5,#1452b4
Nikola Vucevic,8.97,2021-11-10,8.78,6,#bc062c
Nicolas Batum,8.47,2021-11-10,8.47,7,#0446ac
Jusuf Nurkic,8.32,2021-11-10,8.84,8,#cc0a2c
Jakob Poeltl,7.86,2021-11-10,7.86,9,#161616
OG Anunoby,7.79,2021-11-10,7.85,10,#bc0f33
Nikola Jokic,18.03,2021-11-11,18.03,1,#fcc624
Giannis Antetokounmpo,14.23,2021-11-11,14.23,2,#2c4e3c
Rudy Gobert,12.68,2021-11-11,12.74,3,#244e34
Jonas Valanciunas,12.52,2021-11-11,12.52,4,#0c223c
Luka Doncic,11.12,2021-11-11,11.12,5,#1452b4
Nikola Vucevic,8.97,2021-11-11,8.97,6,#bc062c
Jusuf Nurkic,8.32,2021-11-11,8.32,7,#cc0a2c
Nicolas Batum,8.32,2021-11-11,8.47,8,#0446ac
Jakob Poeltl,7.86,2021-11-11,7.86,9,#161616
