name,value,year,lastValue,rank,tid
Nicolas Batum,8.14,2021-11-07,7.83,2,#0446ac
Evan Fournier,4.9,2021-11-07,4.89,3,#f46e24
Timothe Luwawu-Cabarrot,0.3,2021-11-07,0.3,4,#cc062c
Théo Maledon,0.09,2021-11-07,0.38,5,#0472cc
Petr Cornelie,0.0,2021-11-07,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-07,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-07,-0.39,8,#7c9abc
Rudy Gobert,13.43,2021-11-08,13.43,1,#244e34
Nicolas Batum,8.14,2021-11-08,8.14,2,#0446ac
Evan Fournier,5.05,2021-11-08,4.9,3,#f46e24
Timothe Luwawu-Cabarrot,0.89,2021-11-08,0.3,4,#cc062c
Théo Maledon,0.09,2021-11-08,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-08,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-08,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-08,-0.39,8,#7c9abc
Rudy Gobert,12.74,2021-11-09,13.43,1,#244e34
Nicolas Batum,8.47,2021-11-09,8.14,2,#0446ac
Evan Fournier,5.05,2021-11-09,5.05,3,#f46e24
Timothe Luwawu-Cabarrot,0.65,2021-11-09,0.89,4,#cc062c
Théo Maledon,0.09,2021-11-09,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-09,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-09,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-09,-0.39,8,#7c9abc
Rudy Gobert,12.74,2021-11-10,12.74,1,#244e34
Nicolas Batum,8.47,2021-11-10,8.47,2,#0446ac
Evan Fournier,4.54,2021-11-10,5.05,3,#f46e24
Timothe Luwawu-Cabarrot,0.65,2021-11-10,0.65,4,#cc062c
Théo Maledon,0.09,2021-11-10,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-10,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-10,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-10,-0.39,8,#7c9abc
Rudy Gobert,12.68,2021-11-11,12.74,1,#244e34
Nicolas Batum,8.32,2021-11-11,8.47,2,#0446ac
Evan Fournier,4.54,2021-11-11,4.54,3,#f46e24
Timothe Luwawu-Cabarrot,0.65,2021-11-11,0.65,4,#cc062c
Théo Maledon,0.09,2021-11-11,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-11,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-11,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-11,-0.39,8,#7c9abc
Rudy Gobert,12.68,2021-11-12,12.68,1,#244e34
Nicolas Batum,8.32,2021-11-12,8.32,2,#0446ac
Evan Fournier,4.46,2021-11-12,4.54,3,#f46e24
Timothe Luwawu-Cabarrot,0.65,2021-11-12,0.65,4,#cc062c
Théo Maledon,0.09,2021-11-12,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-12,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-12,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-12,-0.39,8,#7c9abc
Rudy Gobert,12.71,2021-11-13,12.68,1,#244e34
Nicolas Batum,7.82,2021-11-13,8.32,2,#0446ac
Evan Fournier,4.46,2021-11-13,4.46,3,#f46e24
Timothe Luwawu-Cabarrot,0.65,2021-11-13,0.65,4,#cc062c
Théo Maledon,0.09,2021-11-13,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-13,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-13,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-13,-0.39,8,#7c9abc
Rudy Gobert,12.71,2021-11-14,12.71,1,#244e34
Nicolas Batum,7.52,2021-11-14,7.82,2,#0446ac
Evan Fournier,4.46,2021-11-14,4.46,3,#f46e24
Timothe Luwawu-Cabarrot,0.64,2021-11-14,0.65,4,#cc062c
Théo Maledon,0.09,2021-11-14,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-14,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-14,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-14,-0.39,8,#7c9abc
Rudy Gobert,12.71,2021-11-15,12.71,1,#244e34
Nicolas Batum,7.52,2021-11-15,7.52,2,#0446ac
Evan Fournier,4.38,2021-11-15,4.46,3,#f46e24
Timothe Luwawu-Cabarrot,0.72,2021-11-15,0.64,4,#cc062c
